Name,sol,Event_time,Family,SNR
M0190a,190, 2019-06-10T07:44:46.287000Z,LF,1.59
M0205a,205, 2019-06-25T18:45:03.732000Z,LF,1.38
M0214a,214, 2019-07-04T23:42:47.732000Z,LF,1.68
M0248a,248, 2019-08-08T20:32:23.744000Z,LF,2.28
M0336a,336, 2019-11-07T09:54:51.418000Z,LF,1.75
M0345a,345, 2019-11-16T16:31:10.418000Z,LF,2.12
M0395a,395, 2020-01-06T20:46:37.738000Z,LF,1.44
M0434a,434, 2020-02-15T21:41:37.984000Z,LF,1.72
M0440a,440, 2020-02-22T06:39:31.984000Z,LF,1.37
M0452a,452, 2020-03-05T07:11:54.270000Z,LF,2.53
M0547a,547, 2020-06-10T22:48:27.494000Z,LF,1.79
M0166a,166, 2019-05-16T09:46:01.807000Z,HF,1.3
M0205b,205, 2019-06-25T02:49:38.762000Z,HF,1.68
M0250a,250, 2019-08-10T03:34:41.518000Z,HF,2.21
M0254a,254, 2019-08-15T04:08:50.518000Z,HF,1.64
M0256a,256, 2019-08-17T00:46:51.518000Z,HF,1.33
M0258a,258, 2019-08-19T01:57:51.518000Z,HF,1.66
M0291a,291, 2019-09-21T10:58:54.328000Z,HF,2.02
M0303a,303, 2019-10-04T10:27:15.328000Z,HF,1.53
M0312a,312, 2019-10-13T16:10:53.328000Z,HF,1.64
M0313a,313, 2019-10-14T13:43:33.328000Z,HF,1.52
M0313b,313, 2019-10-14T18:09:01.328000Z,HF,1.69
M0314a,314, 2019-10-15T18:38:26.328000Z,HF,1.65
M0317a,317, 2019-10-18T16:53:42.328000Z,HF,1.57
M0331a,331, 2019-11-02T05:04:35.006000Z,HF,1.53
M0333a,333, 2019-11-04T08:23:55.006000Z,HF,1.83
M0336a,336, 2019-11-07T09:50:17.006000Z,HF,1.52
M0338a,338, 2019-11-08T17:37:39.006000Z,HF,1.81
M0338b,338, 2019-11-09T07:52:22.006000Z,HF,1.7
M0349a,349, 2019-11-20T13:29:37.006000Z,HF,1.74
M0351a,351, 2019-11-22T16:59:05.006000Z,HF,1.57
M0354a,354, 2019-11-25T16:50:08.807000Z,HF,1.64
M0365a,365, 2019-12-07T00:10:51.807000Z,HF,1.79
M0431a,431, 2020-02-12T19:41:13.370000Z,HF,1.34
M0434a,434, 2020-02-15T21:43:03.370000Z,HF,1.53
M0446a,446, 2020-02-28T05:36:02.370000Z,HF,1.93
M0458a,458, 2020-03-10T21:22:01.370000Z,HF,1.7
M0466a,466, 2020-03-19T19:37:39.174000Z,HF,1.53
M0516a,516, 2020-05-10T02:52:42.633000Z,HF,1.77

