Name,Start time,End time,Type,Quality,SNR Z,SNR N,SNR E,SNR HF Z,SNR HF N,SNR HF E
S0882b,2021-05-21T06:21:17.049681Z,2021-05-21T06:35:16.089042Z,2.4_HZ,D,1.16851061746,1.12895007999,1.14189660876,1.78209830637,1.5266408334,1.57591686734
S0661a,2020-10-05T16:37:41.849859Z,2020-10-05T16:46:51.076615Z,VERY_HIGH_FREQUENCY,C,1.02300382686,1.09112784662,1.09867307961,3.10475130958,1.9786712018,2.31217976533
S0653a,2020-09-27T23:16:01.084694Z,2020-09-27T23:27:49.578098Z,VERY_HIGH_FREQUENCY,C,1.1755923755,1.24048089589,1.1941596358,2.20865675768,2.09690521599,1.85076941835
S0562a,2020-06-26T05:23:59.853235Z,2020-06-26T05:31:36.469119Z,2.4_HZ,D,1.09247529075,0.938768128723,0.93541116792,2.35300744586,1.95562758305,1.90157424732
S0542a,2020-06-05T13:10:34.722582Z,2020-06-05T13:28:10.705242Z,VERY_HIGH_FREQUENCY,C,1.37678877674,1.47366805561,1.3302715312,7.4219947521,5.87682370427,6.25387979108
S0534a,2020-05-28T13:25:16.867540Z,2020-05-28T13:41:06.180856Z,2.4_HZ,C,1.40686984066,1.92708746818,1.82090571876,3.37638837405,2.27530239389,2.15267948224
S0533a,2020-05-27T13:48:26.477455Z,2020-05-27T13:55:09.616794Z,HIGH_FREQUENCY,D,1.08593710358,1.18791396277,0.999706452188,3.39085094427,2.43512937687,2.26140125734
S0518a,2020-05-11T12:06:03.942327Z,2020-05-11T12:16:08.612770Z,2.4_HZ,C,1.07894878415,1.1775138591,1.10802208467,2.05288955162,1.60552335899,1.65596781167
S0510a,2020-05-04T04:21:35.804806Z,2020-05-04T04:33:25.683811Z,2.4_HZ,C,1.32471271346,1.13989479358,1.11906213076,1.84739101697,1.71137000574,1.79827038863
S0507a,2020-05-01T02:19:00.077885Z,2020-05-01T02:28:30.550332Z,2.4_HZ,D,1.21611073098,1.24430787321,1.05029537329,1.68818785446,1.64579841921,1.59229517977
S0500a,2020-04-23T22:42:35.425902Z,2020-04-23T22:56:27.944727Z,VERY_HIGH_FREQUENCY,B,1.15361108529,1.19840212729,1.06572285876,3.69666432168,3.07302172646,3.11880270588
S0494a,2020-04-17T12:34:33.739114Z,2020-04-17T12:50:08.292056Z,2.4_HZ,C,1.25231616291,1.55229209868,1.25958931175,1.7083298364,1.42387451059,1.30001298742
S0493a,2020-04-16T16:16:46.236458Z,2020-04-16T16:33:05.047602Z,2.4_HZ,D,1.16486535016,1.26973778622,1.20633218798,1.525204805,1.49706511132,1.43916991211
S0492a,2020-04-15T12:39:53.929558Z,2020-04-15T12:57:54.063537Z,2.4_HZ,D,1.26851819818,1.29407732053,1.26007541691,2.02122909782,1.72491856454,1.96133701688
S0477a,2020-03-31T00:48:47.674521Z,2020-03-31T01:03:30.729323Z,2.4_HZ,B,0.930726266836,0.963848039859,0.940646910583,3.13576068093,3.24016021982,3.31159611595
S0475a,2020-03-29T00:41:19.772196Z,2020-03-29T00:56:03.626653Z,VERY_HIGH_FREQUENCY,B,1.29488676909,1.14405683341,1.05225729658,3.7220544512,3.74674584827,3.25964158053
S0467a,2020-03-20T18:12:15.421504Z,2020-03-20T18:26:39.413784Z,2.4_HZ,C,1.05308573744,1.17756964517,1.11553673239,2.11379266072,1.70261510023,1.82171841851
S0466b,2020-03-19T21:23:52.822331Z,2020-03-19T21:46:33.734652Z,2.4_HZ,D,1.40062306233,1.56429865824,1.5608083944,2.04166254931,1.69336866446,2.04641456246
S0466a,2020-03-19T21:00:53.573800Z,2020-03-19T21:14:23.195545Z,2.4_HZ,D,1.36983681004,1.5653023512,1.45833564429,1.84799924853,1.53069849281,1.66334304708
S0462b,2020-03-15T18:45:01.836468Z,2020-03-15T18:57:27.866416Z,HIGH_FREQUENCY,D,1.08766991073,1.14132205583,1.11815305294,1.53053936133,1.34505590658,1.35126161089
S0462a,2020-03-15T18:10:53.881007Z,2020-03-15T18:18:29.325484Z,VERY_HIGH_FREQUENCY,D,1.01590834495,1.068952837,1.14356616081,1.42165670974,1.45632670797,1.18083735087
